"plot","pont","peso.seco","peso.saco","peso.flor_g","peso.fruto_g","peso.galho_g","peso.folha_g","data","obs","date2","years","months","days","weight_g"
"F21","B",16.18,7.85,0,0,3.95,4.49,"17/10/2011",,2011-10-17,"2011","10","17",8.33
"F21","C",15.13,7.85,0,0.41,0.36,7.09,"17/10/2011",,2011-10-17,"2011","10","17",7.28
"F21","D",14.28,7.85,0,0.06,0.07,6.52,"17/10/2011",,2011-10-17,"2011","10","17",6.43
"F22","A",14.23,7.85,0,0.4,0.01,6.53,"17/10/2011",,2011-10-17,"2011","10","17",6.38
"F22","B",19.86,7.85,0,0.42,0.22,11.88,"17/10/2011",,2011-10-17,"2011","10","17",12.01
"F22","C",17.13,7.85,0,0,2.3,7.59,"17/10/2011",,2011-10-17,"2011","10","17",9.28
"F22","D",12.8,7.85,0,0,0.17,5.36,"17/10/2011",,2011-10-17,"2011","10","17",4.95
"F26","A",17.73,7.85,0,0.69,0.68,9.15,"17/10/2011",,2011-10-17,"2011","10","17",9.88
"F26","B",9.77,7.85,0,0,0.11,2.21,"17/10/2011",,2011-10-17,"2011","10","17",1.92
"F26","C",18.56,7.85,0,0.18,0.16,8.81,"17/10/2011",,2011-10-17,"2011","10","17",10.71
"F26","D",13.82,7.85,0,0.05,0.82,5.45,"17/10/2011",,2011-10-17,"2011","10","17",5.97
"F27","A",11.31,7.85,0,0,0.03,3.83,"17/10/2011",,2011-10-17,"2011","10","17",3.46
"F27","B",17.84,7.85,0,0.26,5.18,5.27,"17/10/2011",,2011-10-17,"2011","10","17",9.99
"F27","C",25.54,7.85,0,0,0.12,18.5,"17/10/2011",,2011-10-17,"2011","10","17",17.69
"F27","D",12.89,7.85,0,0,0.36,3.94,"17/10/2011",,2011-10-17,"2011","10","17",5.04
"J21","A",16.06,7.85,0,0,1.89,6.76,"17/10/2011",,2011-10-17,"2011","10","17",8.21
"J21","B",14.84,7.85,0,0,0.26,7.42,"17/10/2011",,2011-10-17,"2011","10","17",6.99
"J21","C",18.21,7.85,0,1.54,0.86,6.25,"17/10/2011",,2011-10-17,"2011","10","17",10.36
"J21","D",16.87,7.85,0,3.76,1.3,2.43,"17/10/2011",,2011-10-17,"2011","10","17",9.02
"J22","A",18.03,7.85,0,0,0.49,9.96,"17/10/2011",,2011-10-17,"2011","10","17",10.18
"J22","B",15.16,7.85,0,0,1.4,7.61,"17/10/2011",,2011-10-17,"2011","10","17",7.31
"J22","C",12.34,7.85,0,0.04,0.4,3.66,"17/10/2011",,2011-10-17,"2011","10","17",4.49
"J22","D",12.11,7.85,0,0,1.1,2.96,"17/10/2011",,2011-10-17,"2011","10","17",4.26
"J26","A",15.98,7.85,0,0,0.73,7.68,"17/10/2011",,2011-10-17,"2011","10","17",8.13
"J26","B",13.85,7.85,0,0,0.19,5.99,"17/10/2011",,2011-10-17,"2011","10","17",6
"J26","C",16.15,7.85,0,0,0.24,9.44,"17/10/2011",,2011-10-17,"2011","10","17",8.3
"J26","D",22.51,7.85,0,0.25,0.89,14.16,"17/10/2011",,2011-10-17,"2011","10","17",14.66
"J27","A",18.22,7.85,0,0.26,0.08,10.71,"17/10/2011",,2011-10-17,"2011","10","17",10.37
"J27","B",14.45,7.85,0,0,0.11,7.17,"17/10/2011",,2011-10-17,"2011","10","17",6.6
"J27","C",18.8,7.85,0,18.98,0.51,8.66,"17/10/2011",,2011-10-17,"2011","10","17",10.95
"J27","D",16.53,7.85,0,0.4,0.09,8.87,"17/10/2011",,2011-10-17,"2011","10","17",8.68
"K21","A",23.34,7.85,0,1.34,2.98,12.2,"17/10/2011",,2011-10-17,"2011","10","17",15.49
"K21","B",16.79,7.85,0,1.46,2.56,5.54,"17/10/2011",,2011-10-17,"2011","10","17",8.94
"K21","C",33.65,7.85,0,0,3.52,23.52,"17/10/2011",,2011-10-17,"2011","10","17",25.8
"K21","D",13.04,7.85,0.43,0,0.71,4.69,"17/10/2011",,2011-10-17,"2011","10","17",5.19
"K22","A",16.39,7.85,0.22,0.16,0.26,5.98,"17/10/2011",,2011-10-17,"2011","10","17",8.54
"K22","B",16.99,7.85,0,1.04,2.38,5.26,"17/10/2011",,2011-10-17,"2011","10","17",9.14
"K22","C",13.76,7.85,0,1.06,2.28,5.09,"17/10/2011",,2011-10-17,"2011","10","17",5.91
"K22","D",22.29,7.85,0,0.13,1.22,13.88,"17/10/2011",,2011-10-17,"2011","10","17",14.44
"K26","A",13.79,7.85,0,0,0.09,5.39,"17/10/2011",,2011-10-17,"2011","10","17",5.94
"K26","B",13.57,7.85,0,0.09,0.34,6.05,"17/10/2011",,2011-10-17,"2011","10","17",5.72
"K26","C",10.2,7.85,0,0,0.07,2.52,"17/10/2011",,2011-10-17,"2011","10","17",2.35
"K26","D",13.99,7.85,0,0,0.14,6.61,"17/10/2011",,2011-10-17,"2011","10","17",6.14
"K27","A",9.03,7.85,0,0,0.48,1.16,"17/10/2011",,2011-10-17,"2011","10","17",1.18
"K27","B",17.68,7.85,0,2.25,0.19,7.57,"17/10/2011",,2011-10-17,"2011","10","17",9.83
"K27","C",15.55,7.85,0,3.09,2.37,2.62,"17/10/2011",,2011-10-17,"2011","10","17",7.7
"K27","D",13.85,7.85,1.39,0.44,1.3,2.42,"17/10/2011",,2011-10-17,"2011","10","17",6
"E21","A",13.05,7.68,0,0,0.36,5.46,"01/11/2011",,2011-11-01,"2011","11","01",5.37
"E21","B",25.9,7.68,0,11.79,0.97,7,"01/11/2011",,2011-11-01,"2011","11","01",18.22
"E21","C",17.62,7.68,0,0.07,2.35,8.2,"01/11/2011",,2011-11-01,"2011","11","01",9.94
"E21","D",16.95,7.68,0,0.5,4.97,4.74,"01/11/2011",,2011-11-01,"2011","11","01",9.27
"E22","A",8.61,7.68,0,0,0.27,0.91,"01/11/2011",,2011-11-01,"2011","11","01",0.93
"E22","B",19.79,7.68,6.28,0,1.48,5.6,"01/11/2011",,2011-11-01,"2011","11","01",12.11
"E22","C",15.8,7.68,0,0,0.38,8.82,"01/11/2011",,2011-11-01,"2011","11","01",8.12
"E22","D",28.68,7.68,0,0.11,18.35,3.34,"01/11/2011",,2011-11-01,"2011","11","01",21
"E26","A",13.18,7.68,1.15,0.4,0.61,3.9,"01/11/2011",,2011-11-01,"2011","11","01",5.5
"E26","B",17.99,7.68,0,0.35,0,3.75,"01/11/2011",,2011-11-01,"2011","11","01",10.31
"E26","C",9.1,7.68,0.79,0,0.06,0.65,"01/11/2011",,2011-11-01,"2011","11","01",1.42
"E26","D",15.61,7.68,0,1.32,1.65,5.83,"01/11/2011",,2011-11-01,"2011","11","01",7.93
"E27","A",12.35,7.68,0,0,0.73,4.31,"01/11/2011",,2011-11-01,"2011","11","01",4.67
"E27","B",15.07,7.68,0,2.13,3.38,2.47,"01/11/2011",,2011-11-01,"2011","11","01",7.39
"E27","C",13.96,7.68,0,0,0.31,6.7,"01/11/2011",,2011-11-01,"2011","11","01",6.28
"E27","D",22.23,7.68,0,1.17,3.9,10.76,"01/11/2011",,2011-11-01,"2011","11","01",14.55
"F21","A",15.39,7.68,0,1.4,0.68,6.06,"01/11/2011",,2011-11-01,"2011","11","01",7.71
"F21","B",26.08,7.68,0,1,1.99,16.65,"01/11/2011",,2011-11-01,"2011","11","01",18.4
"F21","C",14.5,7.68,0,1.65,1.62,4.22,"01/11/2011",,2011-11-01,"2011","11","01",6.82
"F21","D",16.87,7.68,0,1.21,1.04,7.97,"01/11/2011",,2011-11-01,"2011","11","01",9.19
"F22","A",22.27,7.68,0,0.88,2,12.37,"01/11/2011",,2011-11-01,"2011","11","01",14.59
"F22","B",14.73,7.68,0,0.35,1.33,6.18,"01/11/2011",,2011-11-01,"2011","11","01",7.05
"F22","C",16.73,7.68,0,1,1.13,7.44,"01/11/2011",,2011-11-01,"2011","11","01",9.05
