"linhas","xdist","transecto","ydist","FILE","Time","AB12","Mask","Model","Comp","LAI","SEL","DIFN","MTA","SEM","SMP","Prompt1","Prompt2","Rspns1","file_name","ano","mes","dia","hora","minuto","status"
1,0,"M",600,16,"3/24/2008 06:57"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.83,"0","0.069",48,10,2,"LINHA  ","PONTO  ","1","LAI_ABC_marco2008_1a4.txt","2008","3","24","6","57","bom"
1,0,"J",450,15,"23 nov 06:05:33"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.88,"0,00","0,060",54,9,2,"  LINHA","  PONTO","1      ","Cruzada_Ar1_Linha_1e3e5e7_20181123AB.TXT","2018","11","23","06","05","bom"
1,0,"A",0,1,"7/24/2007 07:43"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",0.64,"0","0.673",90,0,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2007_1a4.txt","2007","7","24","7","43","bom"
1,0,"A",0,2,"7/24/2007 07:43"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.04,"0.02","0.048",41,15,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2007_1a4.txt","2007","7","24","7","43","bom"
1,0,"E",200,8,"18/12/2017 05:48"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.52,"0.09","0.214",90,45,2,"  LINHA","  PONTO","1","LAI_ABC_dezembro2012_1e3.txt","2012","12","12","5","48","bom"
1,0,"H",350,11,"12 mar 06:34:12"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.71,"0.03","0.136",44,7,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","34","bom"
1,0,"M",600,16,"03/08/2012 06:27"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.55,"0,03","0,166",63,9,2,"  LINHA","  PONTO","1","LAI_ABC_marco2012_1a6.txt","2012","3","8","6","27","bom"
1,0,"A",0,2,"12 mar 06:27:14"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.88,"0.06","0.249",0,40,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","27","bom"
1,0,"Q",800,22,"23 nov 06:11:48"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.17,"0,03","0,056",62,9,2,"  LINHA","  PONTO","1      ","Cruzada_Ar1_Linha_1e3e5e7_20181123AB.TXT","2018","11","23","06","11","bom"
1,0,"I",400,12,"3/24/2008 06:53"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.05,"0","0.035",58,4,2,"LINHA  ","PONTO  ","1","LAI_ABC_marco2008_1a4.txt","2008","3","24","6","53","bom"
1,0,"G",300,10,"08/03/2005 07:08"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.28,"0","0.043",44,13,2,,,"1","LAI_ABC_agosto2005_1a4.txt","2005","8","3","7","8","bom"
1,0,"Q",800,20,"08/10/2013 06:35"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.27,"0","0.047",47,9,2,"  LINHA","  PONTO","1","LAI_ABC_outubro_20131008.txt","2013","10","10","6","35","bom"
1,0,"R",850,21,"6/18/2009 06:56"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.13,"0.01","0.051",57,8,2,"  LINHA","  PONTO","1","LAI_ABC_junho2009_1a2.txt","2009","6","18","6","56","bom"
1,0,"H",350,11,"7/24/2007 07:51"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.05,"0.02","0.03",41,6,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2007_1a4.txt","2007","7","24","7","51","bom"
1,0,"AA",10,3,"11/09/2007 06:18"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.66,"0.03","0.039",52,9,2,"LINHA  ","PONTO  ","1","LAI_ABC_novembro2007_1a4.txt","2007","11","9","6","18","bom"
1,0,"M",600,20,"06/03/2008 07:27"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.25,"0.01","0.043",46,11,2,"LINHA  ","PONTO  ","1","LAI_ABC_junho2008_1a2.txt","2008","6","3","7","27","bom"
1,0,"G",300,12,"23 nov 06:03:06"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.24,"0,00","0,107",65,10,2,"  LINHA","  PONTO","1      ","Cruzada_Ar1_Linha_1e3e5e7_20181123AB.TXT","2018","11","23","06","03","bom"
1,0,"Q",800,22,"21/09/2017 06:35"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.25,"0,00","0,044",43,2,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1_20170921AB.TXT","2017","09","21","01"," 0","bom"
1,0,"H",350,11,"15/04/2017 06:37"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.95,"0,00","0,117",47,4,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20160415AD.txt","2016","04","15","01"," 0","bom"
1,0,"I",400,12,"7/14/2006 07:12"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.78,"0.02","0.018",56,6,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2006_1a4.txt","2006","7","14","7","12","bom"
1,0,"Q",800,20,"03/03/2011 07:05"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.79,"0.01","0.048",67,6,2,"  LINHA","  PONTO","1","LAI_ABC_marco2011_1a4.txt","2011","3","3","7","5","bom"
1,0,"G",300,10,"11/22/2011 06:06"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.92,"0.01","0.056",47,11,2,"  LINHA","  PONTO","1","LAI_ABC_novembro2011_1e2.txt","2011","11","22","6","6","bom"
1,0,"O",700,18,"7/14/2006 07:20"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.8,"0.01","0.038",49,7,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2006_1a4.txt","2006","7","14","7","20","bom"
1,0,"A",0,1,"03/03/2011 06:50"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",0,"0","0",0,0,0,"  LINHA","  PONTO","1","LAI_ABC_marco2011_1a4.txt","2011","3","3","6","50","bom"
1,0,"I",400,12,"7/24/2007 07:52"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",6.01,"0.02","0.012",44,6,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2007_1a4.txt","2007","7","24","7","52","bom"
